iter	Passed	Remaining
978	67322	1444
979	67400	1375
980	67494	1307
981	67559	1238
982	67609	1169
983	67661	1100
984	67737	1031
985	67810	962
986	67875	894
987	67969	825
988	68050	756
989	68117	688
990	68190	619
991	68258	550
992	68328	481
993	68392	412
994	68457	344
995	68535	275
996	68599	206
997	68659	137
998	68734	68
999	68788	0
